Date : 2020-11-26 20:29:07
Directory : /home/zl/gem5/src
Total : 5618 files,  884122 codes, 252225 comments, 152980 blanks, all 1289327 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      4,275 |    573,303 |    229,927 |    129,852 |    933,082 |
| Log      |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python   |        539 |     32,373 |     22,271 |      8,383 |     63,027 |
| Markdown |          1 |         43 |          0 |         13 |         56 |
| C        |          1 |         21 |         27 |          7 |         55 |
| HTML     |          1 |          4 |          0 |          2 |          6 |
| Jupyter  |          1 |          0 |          0 |          1 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| systemc/tests/systemc/kernel/sc_module/test06                                                                                          |          2 |         18 |         36 |         13 |         67 |
| systemc/tests/systemc/kernel/sc_module/test06/golden                                                                                   |          1 |          4 |          0 |          2 |          6 |
| systemc/tests/systemc/kernel/sc_module/test07                                                                                          |          2 |         17 |         35 |         12 |         64 |
| systemc/tests/systemc/kernel/sc_module/test07/golden                                                                                   |          1 |          5 |          0 |          3 |          8 |
| systemc/tests/systemc/kernel/sc_module/test08                                                                                          |          2 |         14 |         35 |         10 |         59 |
| systemc/tests/systemc/kernel/sc_module/test08/golden                                                                                   |          1 |          3 |          0 |          2 |          5 |
| systemc/tests/systemc/kernel/sc_module/test09                                                                                          |          2 |        180 |         36 |         16 |        232 |
| systemc/tests/systemc/kernel/sc_module/test09/golden                                                                                   |          1 |        124 |          0 |          1 |        125 |
| systemc/tests/systemc/kernel/sc_module/test10                                                                                          |          2 |         35 |         34 |         11 |         80 |
| systemc/tests/systemc/kernel/sc_module/test10/golden                                                                                   |          1 |          6 |          0 |          1 |          7 |
| systemc/tests/systemc/kernel/sc_module_name                                                                                            |          2 |         30 |         35 |         12 |         77 |
| systemc/tests/systemc/kernel/sc_module_name/test01                                                                                     |          2 |         30 |         35 |         12 |         77 |
| systemc/tests/systemc/kernel/sc_module_name/test01/golden                                                                              |          1 |          3 |          0 |          1 |          4 |
| systemc/tests/systemc/kernel/sc_name_gen                                                                                               |          2 |         54 |         35 |         13 |        102 |
| systemc/tests/systemc/kernel/sc_name_gen/test1                                                                                         |          2 |         54 |         35 |         13 |        102 |
| systemc/tests/systemc/kernel/sc_name_gen/test1/golden                                                                                  |          1 |         16 |          0 |          5 |         21 |
